 8.71   3.740E-065   3.429E-057   1.285E-049   9.899E-043   2.214E-036   1.255E-030   2.910E-025   3.189E-020   1.860E-015   4.480E-011   3.788E-007   8.670E-004   9.991E-001
 8.70   5.141E-065   4.597E-057   1.683E-049   1.264E-042   2.756E-036   1.522E-030   3.439E-025   3.673E-020   2.087E-015   4.898E-011   4.034E-007   8.933E-004   9.991E-001
 8.69   7.068E-065   6.164E-057   2.204E-049   1.614E-042   3.430E-036   1.847E-030   4.066E-025   4.231E-020   2.343E-015   5.355E-011   4.296E-007   9.203E-004   9.991E-001
 8.68   9.717E-065   8.265E-057   2.887E-049   2.061E-042   4.270E-036   2.241E-030   4.806E-025   4.873E-020   2.630E-015   5.854E-011   4.574E-007   9.482E-004   9.991E-001
 8.67   1.336E-064   1.108E-056   3.781E-049   2.632E-042   5.316E-036   2.718E-030   5.681E-025   5.614E-020   2.952E-015   6.400E-011   4.870E-007   9.768E-004   9.990E-001
 8.66   1.836E-064   1.486E-056   4.952E-049   3.362E-042   6.617E-036   3.297E-030   6.716E-025   6.466E-020   3.313E-015   6.996E-011   5.184E-007   1.006E-003   9.990E-001
 8.65   2.524E-064   1.992E-056   6.485E-049   4.292E-042   8.236E-036   3.999E-030   7.937E-025   7.446E-020   3.717E-015   7.646E-011   5.517E-007   1.036E-003   9.990E-001
 8.64   3.469E-064   2.670E-056   8.492E-049   5.480E-042   1.025E-035   4.850E-030   9.379E-025   8.573E-020   4.170E-015   8.354E-011   5.872E-007   1.067E-003   9.989E-001
 8.63   4.769E-064   3.579E-056   1.112E-048   6.996E-042   1.275E-035   5.880E-030   1.108E-024   9.870E-020   4.677E-015   9.127E-011   6.248E-007   1.099E-003   9.989E-001
 8.62   6.554E-064   4.797E-056   1.456E-048   8.931E-042   1.587E-035   7.130E-030   1.309E-024   1.136E-019   5.246E-015   9.970E-011   6.648E-007   1.132E-003   9.989E-001
 8.61   9.008E-064   6.430E-056   1.906E-048   1.140E-041   1.975E-035   8.644E-030   1.547E-024   1.308E-019   5.883E-015   1.089E-010   7.072E-007   1.166E-003   9.988E-001
 8.60   1.238E-063   8.620E-056   2.496E-048   1.455E-041   2.457E-035   1.048E-029   1.827E-024   1.505E-019   6.597E-015   1.189E-010   7.523E-007   1.200E-003   9.988E-001
 8.59   1.702E-063   1.156E-055   3.269E-048   1.858E-041   3.057E-035   1.271E-029   2.158E-024   1.732E-019   7.398E-015   1.299E-010   8.002E-007   1.236E-003   9.988E-001
 8.58   2.340E-063   1.550E-055   4.281E-048   2.372E-041   3.805E-035   1.541E-029   2.550E-024   1.994E-019   8.297E-015   1.419E-010   8.510E-007   1.272E-003   9.987E-001
 8.57   3.217E-063   2.078E-055   5.607E-048   3.029E-041   4.735E-035   1.869E-029   3.012E-024   2.295E-019   9.304E-015   1.549E-010   9.050E-007   1.309E-003   9.987E-001
 8.56   4.422E-063   2.786E-055   7.345E-048   3.867E-041   5.893E-035   2.266E-029   3.559E-024   2.642E-019   1.043E-014   1.692E-010   9.624E-007   1.348E-003   9.987E-001
 8.55   6.080E-063   3.736E-055   9.622E-048   4.939E-041   7.336E-035   2.749E-029   4.205E-024   3.041E-019   1.170E-014   1.848E-010   1.023E-006   1.388E-003   9.986E-001
 8.54   8.358E-063   5.009E-055   1.261E-047   6.308E-041   9.132E-035   3.334E-029   4.970E-024   3.501E-019   1.313E-014   2.018E-010   1.088E-006   1.428E-003   9.986E-001
 8.53   1.149E-062   6.717E-055   1.652E-047   8.057E-041   1.137E-034   4.044E-029   5.874E-024   4.031E-019   1.472E-014   2.204E-010   1.157E-006   1.470E-003   9.985E-001
 8.52   1.580E-062   9.008E-055   2.164E-047   1.029E-040   1.415E-034   4.906E-029   6.942E-024   4.641E-019   1.651E-014   2.407E-010   1.230E-006   1.514E-003   9.985E-001
 8.51   2.172E-062   1.208E-054   2.836E-047   1.315E-040   1.762E-034   5.951E-029   8.204E-024   5.343E-019   1.852E-014   2.628E-010   1.308E-006   1.558E-003   9.984E-001
 8.50   2.987E-062   1.620E-054   3.717E-047   1.679E-040   2.194E-034   7.218E-029   9.696E-024   6.151E-019   2.076E-014   2.870E-010   1.390E-006   1.603E-003   9.984E-001
 8.49   4.109E-062   2.173E-054   4.871E-047   2.145E-040   2.731E-034   8.756E-029   1.146E-023   7.080E-019   2.328E-014   3.133E-010   1.478E-006   1.650E-003   9.983E-001
 8.48   5.652E-062   2.916E-054   6.384E-047   2.741E-040   3.401E-034   1.062E-028   1.354E-023   8.149E-019   2.610E-014   3.420E-010   1.571E-006   1.698E-003   9.983E-001
 8.47   7.776E-062   3.913E-054   8.367E-047   3.502E-040   4.234E-034   1.288E-028   1.600E-023   9.379E-019   2.927E-014   3.734E-010   1.669E-006   1.748E-003   9.983E-001
 8.46   1.070E-061   5.250E-054   1.097E-046   4.474E-040   5.272E-034   1.563E-028   1.890E-023   1.080E-018   3.282E-014   4.076E-010   1.774E-006   1.799E-003   9.982E-001
 8.45   1.472E-061   7.046E-054   1.438E-046   5.717E-040   6.565E-034   1.896E-028   2.234E-023   1.243E-018   3.680E-014   4.450E-010   1.886E-006   1.851E-003   9.981E-001
