 8.66   1.560E-054   2.033E-046   5.368E-041   2.490E-034   3.145E-028   1.449E-022   3.239E-017   2.547E-012   5.205E-008   3.004E-004   9.997E-001
 8.65   1.998E-054   2.540E-046   6.687E-041   3.024E-034   3.723E-028   1.672E-022   3.644E-017   2.791E-012   5.555E-008   3.098E-004   9.997E-001
 8.64   2.559E-054   3.171E-046   8.331E-041   3.672E-034   4.406E-028   1.929E-022   4.098E-017   3.058E-012   5.928E-008   3.195E-004   9.997E-001
 8.63   3.274E-054   3.956E-046   1.038E-040   4.458E-034   5.215E-028   2.226E-022   4.608E-017   3.351E-012   6.325E-008   3.294E-004   9.997E-001
 8.62   4.186E-054   4.933E-046   1.292E-040   5.412E-034   6.171E-028   2.567E-022   5.181E-017   3.670E-012   6.747E-008   3.396E-004   9.997E-001
 8.61   5.348E-054   6.146E-046   1.609E-040   6.569E-034   7.302E-028   2.961E-022   5.824E-017   4.019E-012   7.197E-008   3.501E-004   9.996E-001
 8.60   6.829E-054   7.652E-046   2.004E-040   7.972E-034   8.639E-028   3.414E-022   6.545E-017   4.400E-012   7.674E-008   3.609E-004   9.996E-001
 8.59   8.713E-054   9.521E-046   2.495E-040   9.674E-034   1.022E-027   3.937E-022   7.355E-017   4.817E-012   8.183E-008   3.719E-004   9.996E-001
 8.58   1.111E-053   1.184E-045   3.106E-040   1.174E-033   1.209E-027   4.538E-022   8.264E-017   5.273E-012   8.724E-008   3.833E-004   9.996E-001
 8.57   1.416E-053   1.471E-045   3.866E-040   1.424E-033   1.429E-027   5.231E-022   9.285E-017   5.771E-012   9.299E-008   3.950E-004   9.996E-001
 8.56   1.802E-053   1.826E-045   4.812E-040   1.728E-033   1.690E-027   6.029E-022   1.043E-016   6.315E-012   9.910E-008   4.071E-004   9.996E-001
 8.55   2.294E-053   2.265E-045   5.989E-040   2.096E-033   1.998E-027   6.948E-022   1.172E-016   6.911E-012   1.056E-007   4.194E-004   9.996E-001
 8.54   2.917E-053   2.809E-045   7.455E-040   2.542E-033   2.363E-027   8.007E-022   1.316E-016   7.561E-012   1.125E-007   4.321E-004   9.996E-001
 8.53   3.707E-053   3.481E-045   9.279E-040   3.084E-033   2.794E-027   9.227E-022   1.478E-016   8.272E-012   1.199E-007   4.452E-004   9.996E-001
 8.52   4.708E-053   4.311E-045   1.155E-039   3.741E-033   3.303E-027   1.063E-021   1.660E-016   9.049E-012   1.277E-007   4.586E-004   9.995E-001
 8.51   5.974E-053   5.334E-045   1.437E-039   4.538E-033   3.905E-027   1.225E-021   1.864E-016   9.898E-012   1.360E-007   4.724E-004   9.995E-001
 8.50   7.575E-053   6.595E-045   1.789E-039   5.504E-033   4.617E-027   1.411E-021   2.093E-016   1.082E-011   1.448E-007   4.865E-004   9.995E-001
 8.49   9.598E-053   8.147E-045   2.226E-039   6.675E-033   5.457E-027   1.626E-021   2.349E-016   1.184E-011   1.542E-007   5.011E-004   9.995E-001
 8.48   1.215E-052   1.006E-044   2.770E-039   8.094E-033   6.450E-027   1.873E-021   2.637E-016   1.294E-011   1.642E-007   5.161E-004   9.995E-001
 8.47   1.537E-052   1.240E-044   3.446E-039   9.813E-033   7.622E-027   2.158E-021   2.960E-016   1.415E-011   1.748E-007   5.315E-004   9.995E-001
 8.46   1.942E-052   1.528E-044   4.288E-039   1.190E-032   9.008E-027   2.485E-021   3.322E-016   1.547E-011   1.861E-007   5.473E-004   9.995E-001
 8.45   2.453E-052   1.882E-044   5.335E-039   1.443E-032   1.065E-026   2.862E-021   3.728E-016   1.691E-011   1.981E-007   5.636E-004   9.994E-001
 8.44   3.094E-052   2.315E-044   6.637E-039   1.749E-032   1.258E-026   3.296E-021   4.184E-016   1.848E-011   2.108E-007   5.803E-004   9.994E-001
 8.43   3.900E-052   2.845E-044   8.258E-039   2.121E-032   1.487E-026   3.796E-021   4.696E-016   2.020E-011   2.243E-007   5.975E-004   9.994E-001
 8.42   4.912E-052   3.494E-044   1.027E-038   2.571E-032   1.757E-026   4.371E-021   5.270E-016   2.208E-011   2.387E-007   6.152E-004   9.994E-001
 8.41   6.182E-052   4.288E-044   1.278E-038   3.118E-032   2.076E-026   5.033E-021   5.914E-016   2.413E-011   2.540E-007   6.333E-004   9.994E-001
 8.40   7.773E-052   5.257E-044   1.591E-038   3.781E-032   2.453E-026   5.796E-021   6.636E-016   2.637E-011   2.703E-007   6.520E-004   9.993E-001
 8.39   9.766E-052   6.441E-044   1.979E-038   4.584E-032   2.899E-026   6.675E-021   7.446E-016   2.882E-011   2.875E-007   6.711E-004   9.993E-001
 8.38   1.226E-051   7.884E-044   2.463E-038   5.558E-032   3.426E-026   7.687E-021   8.355E-016   3.149E-011   3.058E-007   6.908E-004   9.993E-001
 8.37   1.538E-051   9.642E-044   3.066E-038   6.740E-032   4.049E-026   8.852E-021   9.374E-016   3.441E-011   3.253E-007   7.111E-004   9.993E-001
 8.36   1.927E-051   1.178E-043   3.815E-038   8.174E-032   4.785E-026   1.019E-020   1.052E-015   3.760E-011   3.460E-007   7.319E-004   9.993E-001
 8.35   2.413E-051   1.439E-043   4.749E-038   9.914E-032   5.656E-026   1.174E-020   1.180E-015   4.108E-011   3.680E-007   7.533E-004   9.992E-001
 8.34   3.020E-051   1.755E-043   5.912E-038   1.202E-031   6.686E-026   1.352E-020   1.324E-015   4.488E-011   3.914E-007   7.753E-004   9.992E-001
 8.33   3.775E-051   2.139E-043   7.361E-038   1.459E-031   7.904E-026   1.558E-020   1.485E-015   4.903E-011   4.163E-007   7.980E-004   9.992E-001
 8.32   4.716E-051   2.605E-043   9.165E-038   1.770E-031   9.344E-026   1.794E-020   1.667E-015   5.357E-011   4.427E-007   8.213E-004   9.992E-001
 8.31   5.884E-051   3.169E-043   1.141E-037   2.147E-031   1.105E-025   2.066E-020   1.870E-015   5.853E-011   4.708E-007   8.453E-004   9.992E-001
 8.30   7.336E-051   3.852E-043   1.421E-037   2.605E-031   1.306E-025   2.380E-020   2.098E-015   6.394E-011   5.007E-007   8.699E-004   9.991E-001
 8.29   9.135E-051   4.677E-043   1.770E-037   3.161E-031   1.544E-025   2.742E-020   2.354E-015   6.986E-011   5.324E-007   8.952E-004   9.991E-001
